kind_code,kind_desc,model,color_desc,D_COLOR,meter_reading,eval_date,initial_price,سعر الشراء,suggested_price,car_age
3606,تويوتا كريسيدا,1994,ابيض /  ا ز ر ق,2002,235585,20020806,1500,1500,1795,8
906,دودج جيب,1991,فضي,2700,151880,20020806,600,720,895,11
3805,فورد جراند ماركيـــز,1995,اخضر / بيـــــج,504,122977,20020806,900,1420,1050,7
3636,تويوتا كامرى 4 سلندر,1997,ابيض /  ا ز ر ق,2002,119365,20020807,1800,1970,2095,5
102,شفر كابرس بروجهــام,2000,ابيض /  ا ز ر ق,2002,52449,20020807,4100,4250,4395,2
3311,ميتسوبيشي بوكـس,1999,كحلي /  ا ز ر ق,802,104187,20020807,3700,3750,4195,3
3301,ميتسوبيشي جا لانت,2001,ابيض /  ا ز ر ق,2002,33225,20020807,2400,2430,2895,1
3302,ميتسوبيشي كولـت,1999,رمادى / اســـود,1206,31376,20020807,1350,1350,1595,3
3701,هوندا Accord EX,1996,اخضر / بيـــــج,504,113211,20020807,1500,1660,1795,6
3821,فورد جيب,1992,ابيض /  ا ز ر ق,2002,211537,20020808,800,1020,1095,10
122,شفر استرو فان,1997,بنفسجي / رمادي,2407,140825,20020810,2400,2490,2895,5
116,شفر سوبربان 454,1993,احمر / بنـــــي,105,113983,20020810,2800,2920,3195,9
3803,فورد كراون فكتوريــا,1999,ابيض /  ا ز ر ق,2002,44025,20020810,3500,3500,3895,3
3803,فورد كراون فكتوريــا,2001,ذهبي / بيـــــج,1404,8125,20020810,4400,4400,5195,1
1304,BMW 730 I,1996,كحلي /  ا ز ر ق,802,140310,20020811,3800,3900,4295,6
603,GMC وانيت,1999,كحلي /  ا ز ر ق,802,90125,20020811,1050,1000,1295,3
904,دودج بوكس,2000,ابيض /  ا ز ر ق,2002,56512,20020811,3500,3680,3895,2
3902,سوزوكى ارتيجا GLX,1999,كحلي /  ا ز ر ق,802,80197,20020811,2450,2670,2695,3
121,شفر بليـزر,1994,اخضر / بيـــــج,504,199125,20020811,1300,1300,1695,8
102,شفر كابرس بروجهــام,1992,احمر / بيـــــج,104,280516,20020811,850,850,1050,10
118,شفر وانيت,1997,ازرق /  ا ز ر ق,702,113125,20020811,3000,3200,3395,5
3805,فورد جراند ماركيـــز,1997,ازرق /  ا ز ر ق,702,152610,20020811,2100,2120,2495,5
3705,هوندا Accord,1996,ذهبي / بيـــــج,1404,150038,20020811,1500,1620,1895,6
904,دودج بوكس,1995,احمر / بيـــــج,104,131937,20020812,1200,1350,1495,7
3302,ميتسوبيشي كولـت,1993,ازرق /  ا ز ر ق,702,76169,20020812,450,500,695,9
3304,ميتسوبيشي  لانسـر,1999,كحلي /  ا ز ر ق,802,111111,20020812,1000,1000,1295,3
4107,نيسان مكسيما,1997,اسود / بنـــــي,405,170162,20020812,1750,1840,1995,5
3631,تويوتا تيــرسـل,1998,ابيض /  ا ز ر ق,2002,126407,20020813,1100,1180,1495,4
3636,تويوتا كامرى 4 سلندر,1996,اخضر / بيـــــج,504,130183,20020813,1600,1680,1995,6
2906,كيا كرنفال,2000,فضي,2700,76125,20020813,2600,2600,2895,2
3412,مازدا بوكس  mbv,1997,ابيض /  ا ز ر ق,2002,110738,20020813,1750,1865,2195,5
1315,BMW 318 I 4DOOR,1997,اسود / بنـــــي,405,74727,20020814,1500,1500,1895,5
1325,BMW 523,1998,ابيض /  ا ز ر ق,2002,70658,20020814,3400,3530,3795,4
1328,BMW Z3,1999,اخضر / بيـــــج,504,81291,20020814,3900,4000,4295,3
3606,تويوتا كريسيدا,1996,ابيض /  ا ز ر ق,2002,227463,20020814,1700,1700,1995,6
102,شفر كابرس بروجهــام,1991,رصاصى / بيــــج,1304,141125,20020814,600,600,895,11
3140,مرسيدس E 240,1998,اسود / بنـــــي,405,61644,20020814,4300,4340,4695,4
3321,ميتسوبيشى  باجيرو,2000,ابيض /  ا ز ر ق,2002,40675,20020814,4100,4200,4695,2
4107,نيسان مكسيما,1997,ذهبي / بيـــــج,1404,97198,20020814,1700,1915,1995,5
3136,مرسيدس 320,1999,ازرق /  ا ز ر ق,702,71723,20020815,10800,10950,0,3
607,GMC سفارى,1995,بني / بنــــــي,1005,100125,20020817,800,800,1100,7
102,شفر كابرس بروجهــام,1996,اخضر ف / بيـــج,604,192726,20020817,2000,2000,2295,6
3803,فورد كراون فكتوريــا,1999,ابيض /  ا ز ر ق,2002,72676,20020817,3300,3330,3695,3
2009,فولكس بولو,2001,فضي,2700,42125,20020817,1500,1500,1895,1
4107,نيسان مكسيما,1997,ابيض /  ا ز ر ق,2002,176548,20020817,1700,1880,1995,5
3705,هوندا Accord,1992,ابيض /  ا ز ر ق,2002,250125,20020817,600,600,895,10
102,شفر كابرس بروجهــام,2000,اسود / رمـــادي,401,77242,20020818,4000,4090,4495,2
102,شفر كابرس بروجهــام,1993,رصاصى / اســـود,1306,150125,20020818,900,900,1195,9
3803,فورد كراون فكتوريــا,1994,ذهبي / بيـــــج,1404,137156,20020818,1000,1000,1295,8
4700,لكزس,1992,ابيض /  ا ز ر ق,2002,200125,20020818,900,900,1295,10
3136,مرسيدس 320,2002,فضي,2700,5125,20020818,17250,17250,0,0
4107,نيسان مكسيما,2000,عنابي / احمـــر,203,79266,20020818,2800,3000,3195,2
524,جيب جراند شيروكي,1998,اسود / بنـــــي,405,83656,20020819,2700,2790,2995,4
524,جيب جراند شيروكي,1996,اسود / بنـــــي,405,80934,20020819,1600,1630,1895,6
511,رود ماستر,1992,ازرق /  ا ز ر ق,702,155863,20020819,0,500,0,10
102,شفر كابرس بروجهــام,1991,كحلي /  ا ز ر ق,802,131771,20020819,400,800,795,11
3805,فورد جراند ماركيـــز,1997,ذهبي / بيـــــج,1404,115199,20020819,2300,2500,2695,5
3515,نيسان باثفنيدر,2000,ابيض / بيـــــج,2004,70125,20020819,4000,4000,4595,2
